Date,Open,High,Low,Close,Volume,Adj Close
2017-05-26,38.00,41.00,38.00,39.80,4059072,39.80
2017-05-31,39.00,39.20,36.70,37.60,1814008,37.60
2017-06-01,37.60,37.80,37.25,37.60,506000,37.60
2017-06-02,37.70,38.65,37.55,38.55,725000,38.55
2017-06-03,38.50,38.55,37.90,38.40,391300,38.40
2017-06-05,38.70,42.20,38.70,42.20,2224000,42.20
2017-06-06,41.40,43.60,40.50,42.20,2170060,42.20
2017-06-07,41.70,42.85,41.65,41.90,1017000,41.90
2017-06-08,41.70,41.70,40.95,41.05,713000,41.05
2017-06-09,41.25,41.25,39.95,40.00,646000,40.00
2017-06-12,39.80,40.35,39.60,40.00,371000,40.00
2017-06-13,40.00,40.00,38.95,39.60,319000,39.60
2017-06-14,39.60,39.90,37.40,38.25,548291,38.25
2017-06-15,38.25,38.60,38.00,38.25,161000,38.25
2017-06-16,38.00,39.25,38.00,39.15,294000,39.15
2017-06-19,39.30,39.40,38.95,39.05,310000,39.05
2017-06-20,39.25,39.25,38.40,38.70,223000,38.70
2017-06-21,38.90,38.90,38.45,38.60,178000,38.60
2017-06-22,38.60,38.75,38.20,38.50,264000,38.50
2017-06-23,38.50,39.95,38.30,39.90,749200,39.90
2017-06-26,39.90,40.10,39.40,39.50,453000,39.50
2017-06-27,39.50,39.85,39.30,39.70,225000,39.70
2017-06-28,39.40,39.80,39.40,39.75,221000,39.75
2017-06-29,39.60,39.70,39.25,39.50,208100,39.50
2017-06-30,39.10,40.00,39.05,40.00,373000,40.00
2017-07-03,40.00,40.10,39.70,40.05,267000,40.05
2017-07-04,40.00,40.10,39.30,39.30,254000,39.30
2017-07-05,39.75,39.75,39.20,39.50,204000,39.50
2017-07-06,39.65,40.05,39.55,39.90,223191,39.90
2017-07-07,40.00,40.25,39.45,39.55,131500,39.55
2017-07-10,39.85,39.85,39.30,39.55,267000,39.55
2017-07-11,39.85,39.85,39.35,39.55,383500,39.55
2017-07-12,39.75,40.45,39.60,40.35,373100,40.35
2017-07-13,40.45,40.50,39.95,39.95,315100,39.95
2017-07-14,39.95,40.50,39.90,40.30,283300,40.30
2017-07-17,40.30,40.50,40.15,40.50,308000,40.50
2017-07-18,40.60,42.20,40.60,41.15,465000,41.15
2017-07-19,41.15,41.65,41.00,41.30,312000,41.30
2017-07-20,41.40,42.80,41.40,41.90,436200,41.90
2017-07-21,42.20,43.55,41.95,43.45,821833,43.45
2017-07-24,43.90,47.50,43.60,46.15,1643560,46.15
2017-07-25,46.15,46.15,45.00,45.85,672700,45.85
2017-07-26,46.15,46.15,44.70,45.30,758333,45.30
2017-07-27,45.30,46.20,45.30,45.30,603400,45.30
2017-07-28,45.25,45.25,43.50,44.05,767460,44.05
2017-07-31,43.40,44.40,43.05,44.40,599616,44.40
2017-08-01,44.40,44.90,43.85,44.65,432534,44.65
2017-08-02,44.90,46.45,44.80,45.85,895166,45.85
2017-08-03,43.40,44.40,43.05,44.40,599616,44.40
2017-08-04,45.75,45.75,44.30,44.65,407200,44.65
2017-08-07,44.80,45.40,43.35,43.90,362100,43.90
2017-08-08,44.00,44.70,43.50,43.95,280000,43.95
2017-08-09,43.50,43.80,41.90,43.00,520000,43.00
2017-08-10,43.00,43.20,42.10,42.30,262000,42.30
2017-08-11,42.00,42.95,41.70,42.70,301000,42.70
2017-08-14,43.50,43.50,42.25,42.25,345000,42.25
2017-08-15,42.90,42.90,42.20,42.30,217000,42.30
2017-08-16,42.40,42.75,42.00,42.35,248000,42.35
2017-08-17,42.75,42.75,42.20,42.65,238000,42.65
2017-08-18,42.70,42.70,42.20,42.45,186001,42.45
2017-08-21,42.70,43.40,42.30,43.40,417155,43.40
2017-08-22,43.40,43.80,43.05,43.35,251000,43.35
2017-08-23,43.35,43.75,43.05,43.20,271249,43.20
2017-08-24,43.25,43.75,43.15,43.60,327000,43.60
2017-08-25,43.90,43.95,43.40,43.90,282000,43.90
2017-08-28,44.05,47.00,43.95,45.40,866040,45.40
2017-08-29,45.40,45.50,44.50,45.00,483000,45.00
2017-08-30,45.05,45.40,43.80,44.30,539000,44.30
2017-08-31,44.30,44.30,43.80,44.25,307000,44.25
2017-09-01,44.65,45.85,44.65,45.70,782488,45.70
2017-09-04,45.60,45.60,44.70,45.00,419100,45.00
2017-09-05,45.00,45.50,44.80,44.90,245000,44.90
2017-09-06,44.90,44.95,44.00,44.25,254649,44.25
2017-09-07,44.50,44.50,43.60,44.00,248000,44.00
2017-09-08,44.50,44.50,43.80,44.40,219000,44.40
2017-09-11,44.00,44.25,43.00,43.60,283041,43.60
2017-09-12,44.20,44.20,43.00,43.80,225000,43.80
2017-09-13,43.70,43.80,43.50,43.50,139000,43.50
2017-09-14,43.75,43.80,43.45,43.70,171000,43.70
2017-09-15,43.90,44.00,43.50,43.75,252000,43.75
2017-09-18,43.80,44.15,43.80,44.15,275000,44.15
2017-09-19,44.25,44.40,43.50,44.00,211040,44.00
2017-09-20,44.00,44.50,42.90,43.80,220000,43.80
2017-09-21,43.80,43.80,42.95,42.95,351000,42.95
2017-09-22,43.20,43.20,42.00,42.45,231000,42.45
2017-09-25,42.50,42.50,40.50,41.60,287200,41.60
2017-09-26,41.30,41.70,40.50,41.00,162019,41.00
2017-09-27,42.00,42.55,41.50,42.55,244015,42.55
2017-09-28,43.00,43.00,42.00,42.60,205041,42.60
2017-09-29,42.60,43.20,42.40,43.20,201000,43.20
2017-09-30,43.50,43.75,42.55,43.40,288000,43.40
2017-10-02,44.60,45.00,43.60,43.90,837000,43.90
2017-10-03,43.80,43.80,42.50,43.00,373000,43.00
2017-10-05,42.90,43.20,42.20,42.85,289000,42.85
2017-10-06,42.95,43.30,42.60,43.10,275000,43.10
2017-10-11,43.10,43.50,42.15,42.15,289000,42.15
2017-10-12,42.80,43.00,42.20,43.00,352159,43.00
2017-10-13,42.85,43.00,42.60,42.90,172000,42.90
2017-10-16,43.00,43.25,42.20,42.90,303000,42.90
2017-10-17,42.30,43.00,42.20,42.85,164000,42.85
2017-10-18,42.85,42.85,42.10,42.45,196000,42.45
2017-10-19,42.65,42.65,42.10,42.50,161000,42.50
2017-10-20,42.60,42.75,41.90,42.25,239000,42.25
2017-10-23,42.35,42.35,41.40,41.80,246000,41.80
2017-10-24,41.75,41.80,41.20,41.80,138000,41.80
2017-10-25,41.80,42.25,40.35,40.45,567000,40.45
2017-10-26,40.45,41.20,40.45,41.20,160000,41.20
2017-10-27,41.20,41.20,40.50,41.00,134000,41.00
2017-10-30,41.40,41.40,40.50,41.00,116000,41.00
2017-10-31,41.20,41.90,40.90,41.75,239015,41.75
2017-11-01,41.75,42.15,41.55,42.00,149000,42.00
2017-11-02,42.15,42.20,41.70,42.20,150000,42.20
2017-11-03,42.10,42.30,42.00,42.25,213000,42.25
2017-11-06,42.25,42.40,42.00,42.25,195015,42.25
2017-11-07,42.00,43.70,42.00,43.10,552000,43.10
2017-11-08,43.00,43.30,42.80,43.30,314032,43.30
2017-11-09,42.00,42.50,41.05,41.75,719032,41.75
2017-11-10,42.00,42.30,41.35,42.30,216000,42.30
2017-11-13,42.20,42.30,41.55,42.10,165000,42.10
2017-11-14,42.80,42.80,41.70,42.10,132000,42.10
2017-11-15,42.20,42.20,41.50,42.00,172283,42.00
2017-11-16,41.80,42.00,41.50,42.00,132000,42.00
2017-11-17,42.00,42.10,41.50,41.95,170000,41.95
2017-11-20,41.80,41.95,41.25,41.75,178000,41.75
2017-11-21,41.90,41.95,41.50,41.80,175000,41.80
2017-11-22,41.85,41.90,41.45,41.85,201000,41.85
2017-11-23,41.80,41.90,41.35,41.90,194000,41.90
2017-11-24,41.90,42.00,41.30,42.00,265000,42.00
2017-11-27,42.20,42.75,42.00,42.60,234500,42.60
2017-11-28,42.60,43.15,42.55,43.05,240000,43.05
2017-11-29,43.05,43.10,42.65,43.10,245000,43.10
2017-11-30,43.05,43.10,42.55,43.10,240000,43.10
2017-12-01,43.20,43.30,42.60,43.10,215000,43.10
2017-12-04,43.00,43.30,42.55,43.30,242000,43.30
2017-12-05,43.75,44.85,43.30,43.90,812000,43.90
2017-12-06,44.00,44.10,43.40,43.45,322000,43.45
2017-12-07,43.45,43.65,41.90,42.70,368000,42.70
2017-12-08,42.20,43.00,42.05,43.00,213000,43.00
2017-12-11,43.00,43.90,42.50,43.35,144000,43.35
2017-12-12,43.50,45.70,43.35,45.45,1399200,45.45
2017-12-13,46.00,46.80,44.60,45.75,1746010,45.75
2017-12-14,45.70,48.40,45.55,48.00,3334366,48.00
2017-12-15,48.25,48.60,46.80,48.60,1483700,48.60
2017-12-18,48.60,48.70,47.60,47.90,787300,47.90
2017-12-19,47.90,47.95,47.10,47.10,430000,47.10
2017-12-20,46.30,49.50,46.30,48.70,1794600,48.70
2017-12-21,49.30,50.00,47.60,47.60,1045000,47.60
2017-12-22,47.60,49.55,47.60,49.00,1198200,49.00
2017-12-25,49.00,51.40,47.50,48.15,3143100,48.15
2017-12-26,48.15,48.30,46.50,46.75,1088220,46.75
2017-12-27,46.75,47.80,46.30,47.00,474156,47.00
2017-12-28,47.40,47.60,46.55,47.00,438006,47.00
2017-12-29,47.30,48.10,47.00,47.80,652300,47.80
2018-01-02,47.90,48.30,46.70,47.20,574124,47.20
2018-01-03,47.20,47.95,47.20,47.50,497006,47.50
2018-01-04,47.50,47.55,46.70,46.90,375000,46.90
2018-01-05,46.90,48.90,46.80,48.40,1068020,48.40
2018-01-08,48.40,48.55,47.55,47.90,600503,47.90
2018-01-09,48.05,48.20,47.55,47.80,479100,47.80
2018-01-10,48.40,49.70,47.80,48.00,1239000,48.00
2018-01-11,48.35,49.10,48.15,48.65,756381,48.65
2018-01-12,49.10,51.10,49.00,50.20,3241300,50.20
2018-01-13,48.60,48.70,47.60,47.90,787300,47.90
2018-01-15,51.40,52.00,49.60,50.40,2047266,50.40
2018-01-16,50.20,53.60,50.20,51.60,2079455,51.60
2018-01-17,52.40,52.90,51.10,51.80,1050354,51.80
2018-01-18,52.80,53.30,51.50,51.50,1102075,51.50
2018-01-19,51.80,51.80,50.00,50.00,983100,50.00
2018-01-22,50.00,50.40,49.25,49.65,512007,49.65
2018-01-23,49.95,50.50,49.05,49.05,533550,49.05
2018-01-24,49.50,49.75,49.00,49.75,374000,49.75
2018-01-25,50.00,51.90,49.65,50.20,844229,50.20
2018-01-26,51.00,52.30,50.80,52.30,941581,52.30
2018-01-29,52.80,53.20,51.40,51.40,857030,51.40
2018-01-30,51.50,52.40,50.40,50.90,652300,50.90
2018-01-31,50.50,50.90,50.00,50.90,251000,50.90
2018-02-01,51.00,51.80,50.50,51.00,280000,51.00
2018-02-02,51.00,51.80,50.60,51.40,452001,51.40
