Date,Open,High,Low,Close,Volume,Adj Close
2007-07-03,100.00,142.00,100.00,133.00,7318000,133.00
2007-07-04,135.00,135.00,120.00,134.50,3517000,134.50
2007-07-05,133.50,133.50,126.00,128.00,1106002,128.00
2007-07-06,125.00,147.00,125.00,141.00,3417000,141.00
2007-07-09,143.00,151.50,140.00,150.50,2048520,150.50
2007-07-10,150.50,150.50,140.00,140.00,1264002,140.00
2007-07-11,136.00,142.00,130.50,140.00,1499600,140.00
2007-07-12,139.50,146.00,135.00,144.00,1440000,144.00
2007-07-13,145.50,145.50,136.50,136.50,911252,136.50
2007-07-16,136.50,139.50,135.00,135.50,470021,135.50
2007-07-17,136.00,136.00,129.00,129.00,735059,129.00
2007-07-18,129.00,135.50,127.00,133.00,719541,133.00
2007-07-19,132.00,132.00,129.00,131.00,395000,131.00
2007-07-20,131.00,131.00,126.00,129.00,521000,129.00
2007-07-23,129.00,135.00,129.00,130.50,642000,130.50
2007-07-24,131.00,135.00,131.00,131.50,654002,131.50
2007-07-25,131.00,133.50,127.50,132.00,446000,132.00
2007-07-26,132.50,138.50,132.00,134.00,1108000,134.00
2007-07-27,133.00,138.00,128.00,136.00,1000989,136.00
2007-07-30,136.00,145.50,135.00,145.50,2138900,145.50
2007-07-31,151.00,155.50,146.00,154.00,2195100,154.00
2007-08-01,148.00,154.50,146.00,146.50,1059000,146.50
2007-08-02,148.00,151.00,136.50,136.50,1007100,136.50
2007-08-03,138.50,140.00,130.00,131.50,784000,131.50
2007-08-06,130.00,136.50,129.50,135.00,435350,135.00
2007-08-07,136.00,136.50,129.00,130.00,534000,130.00
2007-08-08,131.00,133.00,127.50,130.00,401000,130.00
2007-08-09,131.00,131.00,127.50,128.50,585200,128.50
2007-08-10,127.00,128.00,123.00,127.00,253410,127.00
2007-08-13,129.00,130.00,125.50,129.00,245010,129.00
2007-08-14,129.00,130.00,125.00,126.50,264100,126.50
2007-08-15,126.00,126.00,118.00,118.00,478481,118.00
2007-08-16,117.50,117.50,110.00,110.00,264420,110.00
2007-08-17,102.50,107.00,102.50,102.50,1059209,102.50
2007-08-20,104.00,107.00,102.50,102.50,581009,102.50
2007-08-21,102.50,102.50,95.40,95.40,1006000,95.40
2007-08-22,88.80,88.80,88.80,88.80,284010,88.80
2007-08-23,88.80,92.50,82.60,86.00,1519045,86.00
2007-08-24,84.50,92.00,83.70,92.00,762000,92.00
2007-08-27,95.00,95.00,89.50,89.50,826150,89.50
2007-08-28,89.00,91.50,89.00,89.50,229000,89.50
2007-08-29,86.90,93.00,86.40,91.20,396460,91.20
2007-08-30,94.90,94.90,90.00,90.50,269000,90.50
2007-08-31,91.50,92.50,88.00,90.10,241730,90.10
2007-09-03,90.90,91.40,89.90,90.30,219000,90.30
2007-09-04,90.20,90.50,89.10,89.10,128000,89.10
2007-09-05,89.00,91.90,89.00,90.10,257490,90.10
2007-09-06,89.90,91.70,89.20,90.10,109210,90.10
2007-09-07,91.50,96.40,91.00,96.40,603496,96.40
2007-09-10,96.40,102.00,94.50,99.20,599240,99.20
2007-09-11,101.00,103.00,97.80,98.00,289256,98.00
2007-09-12,99.50,101.50,98.50,99.10,414000,99.10
2007-09-13,99.40,99.60,94.60,95.10,156000,95.10
2007-09-14,95.30,97.00,95.30,96.00,104000,96.00
2007-09-17,96.00,96.20,90.20,91.40,156001,91.40
2007-09-19,91.40,91.70,85.10,85.10,419000,85.10
2007-09-20,79.20,83.00,79.20,79.20,603000,79.20
2007-09-21,73.70,79.80,73.70,78.00,1065000,78.00
2007-09-26,79.00,82.00,78.00,79.90,627000,79.90
2007-09-27,80.80,85.40,80.50,85.00,936000,85.00
2007-09-28,85.00,85.00,82.10,83.20,460000,83.20
2007-09-29,84.90,84.90,82.60,83.40,132000,83.40
2007-10-01,83.80,86.00,83.80,83.80,467000,83.80
2007-10-02,85.00,86.50,84.30,85.00,775000,85.00
2007-10-03,86.00,90.90,86.00,90.90,1401000,90.90
2007-10-04,91.50,94.50,91.00,94.00,853000,94.00
2007-10-05,95.00,95.20,91.10,91.50,399000,91.50
2007-10-08,93.30,94.50,87.90,87.90,387100,87.90
2007-10-09,89.00,90.70,88.60,90.00,445000,90.00
2007-10-11,90.50,93.20,90.00,92.90,429450,92.90
2007-10-12,92.60,93.50,90.20,90.50,384000,90.50
2007-10-15,91.00,91.70,89.00,89.00,209010,89.00
2007-10-16,89.00,92.90,89.00,92.00,386000,92.00
2007-10-17,92.00,93.00,90.20,90.70,197000,90.70
2007-10-18,91.00,93.40,91.00,93.00,308000,93.00
2007-10-19,93.00,93.10,91.80,92.30,227005,92.30
2007-10-22,91.50,92.00,88.50,91.40,192000,91.40
2007-10-23,91.60,97.70,91.50,97.70,699761,97.70
2007-10-24,101.00,104.50,99.00,100.00,1570160,100.00
2007-10-25,102.00,107.00,102.00,107.00,1868000,107.00
2007-10-26,110.00,114.00,108.00,114.00,1778650,114.00
2007-10-29,119.00,119.00,109.50,114.00,1090100,114.00
2007-10-30,111.00,121.50,110.00,119.50,1273891,119.50
2007-10-31,117.00,119.00,111.50,111.50,1085300,111.50
2007-11-01,106.50,112.50,106.00,106.00,961000,106.00
2007-11-02,103.00,105.00,99.30,103.50,526000,103.50
2007-11-05,103.50,110.50,102.00,110.50,739479,110.50
2007-11-06,118.00,118.00,118.00,118.00,549210,118.00
2007-11-07,126.00,126.00,111.00,117.00,1990300,117.00
2007-11-08,111.00,114.00,109.00,109.00,506000,109.00
2007-11-09,103.50,116.50,101.50,116.50,1073500,116.50
2007-11-12,110.00,114.50,110.00,112.00,692100,112.00
2007-11-13,108.00,113.00,104.50,107.00,698100,107.00
2007-11-14,109.50,111.50,107.00,108.00,667400,108.00
2007-11-15,108.00,110.00,102.00,105.00,280000,105.00
2007-11-16,104.00,104.00,102.00,103.50,185005,103.50
2007-11-19,103.50,107.00,103.00,105.00,161250,105.00
2007-11-20,104.50,109.00,97.70,109.00,591000,109.00
2007-11-21,106.00,106.00,101.50,101.50,591025,101.50
2007-11-22,99.00,102.00,95.00,95.00,365005,95.00
2007-11-23,95.20,100.00,95.00,95.00,283000,95.00
2007-11-26,98.00,99.90,97.00,97.00,248000,97.00
2007-11-27,96.10,96.10,90.30,91.90,350030,91.90
2007-11-28,91.90,91.90,85.60,86.00,338006,86.00
2007-11-29,88.80,88.80,80.00,81.50,573273,81.50
2007-11-30,81.50,85.00,81.50,84.60,270000,84.60
2007-12-03,84.60,87.90,83.00,86.10,262000,86.10
2007-12-04,86.10,90.70,85.30,89.00,392000,89.00
2007-12-05,88.50,95.20,87.90,95.20,482000,95.20
2007-12-06,95.20,98.00,91.50,93.00,405000,93.00
2007-12-07,93.00,96.20,93.00,93.00,325000,93.00
2007-12-10,91.50,92.00,88.50,89.00,107000,89.00
2007-12-11,89.00,90.80,86.50,86.60,99000,86.60
2007-12-12,86.30,88.80,83.00,88.80,307000,88.80
2007-12-13,88.70,90.00,82.60,86.50,422000,86.50
2007-12-14,85.00,85.00,80.50,84.50,367000,84.50
2007-12-17,81.30,83.00,79.10,81.30,306000,81.30
2007-12-18,79.50,82.50,78.00,82.50,438000,82.50
2007-12-19,83.40,84.90,82.70,84.00,135000,84.00
2007-12-20,84.00,84.20,80.10,80.10,125000,80.10
2007-12-21,81.00,81.90,79.80,80.00,302010,80.00
